file,source_path,bad_channels.bad_channels,bad_channels.n_bad,bad_channels.rate,epoch_rejection.n_total,epoch_rejection.n_rejected,epoch_rejection.rejection_rate,ica_components.n_components,ica_components.excluded,ica_components.n_excluded,ica_components.exclusion_rate,line_noise_50hz,signal_quality.rms,signal_quality.rms_per_channel_mean,signal_quality.rms_per_channel_std,signal_quality.mean,signal_quality.std,signal_quality.kurtosis,psd.delta,psd.theta,psd.alpha,psd.beta,psd.gamma,snr,error
sub-0004_ses-01_task-rest_acq-EC_eeg.vhdr,,,,,,,,,,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: '/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/baseline_restingstate_EC.vmrk'
sub-0004_ses-01_task-rest_acq-EC_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/sub-0004_ses-01_task-rest_acq-EC_run-1_eeg.vhdr,,0,0.0,,,,,,,,28.147912593569114,3.5024442281567634e-05,3.3202199888984594e-05,1.1150133616543543e-05,2.3813361265819683e-06,3.4943394159513155e-05,1.035608467911083,0.028829645026612595,0.017073421982937664,0.06905798157085558,0.004439202309447945,0.001989036351267804,380.78794548353835,
sub-0004_ses-01_task-rest_acq-EO_eeg.vhdr,,,,,,,,,,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: '/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/baseline_restingstate_EO.vmrk'
sub-0004_ses-01_task-rest_acq-EO_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/sub-0004_ses-01_task-rest_acq-EO_run-1_eeg.vhdr,,0,0.0,,,,,,,,2.3750467393736456,5.012341952182832e-05,4.776564345030614e-05,1.5192119349828283e-05,-1.9611754635172333e-05,4.612739169616029e-05,2.5984002647152824,0.0748686013500242,0.01666404332390789,0.010604118629488771,0.003854395154672464,0.0024860117746856618,233.84990535895244,
sub-0004_ses-01_task-vep_acq-cinetique_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/sub-0004_ses-01_task-vep_acq-cinetique_run-1_eeg.vhdr,,0,0.0,,,,,,,,50.05571995154803,6.834637026127532e-05,6.225783566022957e-05,2.819908202043439e-05,2.8138991892992286e-06,6.828841994982605e-05,228.43523289632859,0.21399935639386614,0.040509260825407414,0.024441982628609176,0.008321915903166,0.005378081625984472,177.3472937870703,
sub-0004_ses-01_task-vep_acq-cinetique_run-2_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/sub-0004_ses-01_task-vep_acq-cinetique_run-2_eeg.vhdr,,0,0.0,,,,,,,,391.81131920032186,6.108952464464215e-05,4.845677631181779e-05,3.720041465864049e-05,5.561277738006538e-06,6.0835862870753245e-05,494.1274567814861,0.19104112024422443,0.033987971721686314,0.030530846481771533,0.02157811388035542,0.018350816358736397,132.06085807712967,
sub-0004_ses-01_task-vep_acq-fullfield_eeg.vhdr,,,,,,,,,,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: '/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/baseline_VEP_fullfield.vmrk'
sub-0004_ses-01_task-vep_acq-fullfield_run-1_eeg.vhdr,/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/sub-0004_ses-01_task-vep_acq-fullfield_run-1_eeg.vhdr,,0,0.0,,,,,,,,77.52233058119667,4.0335925246385414e-05,3.817337184949319e-05,1.3029986459022649e-05,1.060464018560701e-05,3.891694325118304e-05,27.724764487780963,0.3863189135366539,0.06924003587179729,0.02463519402257989,0.017779433710353884,0.01344523350095761,153.8562423139235,
sub-0004_ses-01_task-vep_acq-statique_run-OD1_eeg.vhdr,,,,,,,,,,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: '/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/basline_statique_OD.vmrk'
sub-0004_ses-01_task-vep_acq-statique_run-OD2_eeg.vhdr,,,,,,,,,,,,,,,,,,,,,,,,,[Errno 2] No such file or directory: '/Volumes/levy/raw/valerocabre/hemianotACS/Data/derivatives/bids/sub-0004/ses-01/eeg/basline_statique_OD2.vmrk'
